video_id,title,published_date,year,month,title_length
mC43pZkpTec,"Michael Saylor: Bitcoin, Inflation, and the Future of Money | Lex Fridman Podcast #276",2022-04-14,2022,4,86
urdNsyZBqhQ,David Wolpe: Judaism | Lex Fridman Podcast #270,2022-03-16,2022,3,47
5zOHSysMmH0,"Mark Zuckerberg: Meta, Facebook, Instagram, and the Metaverse | Lex Fridman Podcast #267",2022-02-26,2022,2,88
hy2G3PhGm-g,Nicole Perlroth: Cybersecurity and the Weapons of Cyberwar | Lex Fridman Podcast #266,2022-02-20,2022,2,85
uTCc2-1tbBQ,Garry Nolan: UFOs and Aliens | Lex Fridman Podcast #262,2022-02-06,2022,2,55
BCdV6BMMpOo,"Philip Goff: Consciousness, Panpsychism, and the Philosophy of Mind | Lex Fridman Podcast #261",2022-02-03,2022,2,94
KdmDtqB46Jc,"Georges St-Pierre, John Danaher &amp; Gordon Ryan: The Greatest of All Time | Lex Fridman Podcast #260",2022-01-30,2022,1,102
3Z7WimACqG8,Thomas Tull: From Batman Dark Knight Trilogy to AI and The Rolling Stones | Lex Fridman Podcast #259,2022-01-26,2022,1,100
nhGwJLXzHs8,"Brian Keating: Cosmology, Astrophysics, Aliens &amp; Losing the Nobel Prize | Lex Fridman Podcast #257",2022-01-18,2022,1,102
DxREm3s1scA,"Elon Musk: SpaceX, Mars, Tesla Autopilot, Self-Driving, Robotics, and AI | Lex Fridman Podcast #252",2021-12-28,2021,12,99
TISMidxdZoc,"Ray Dalio: Money, Power, and the Collapse of Empires | Lex Fridman Podcast #251",2021-12-25,2021,12,79
X0-SXS6zdEQ,"Peter Wang: Python and the Source Code of Humans, Computers, and Reality | Lex Fridman Podcast #250",2021-12-23,2021,12,99
IbEUbykf9zw,David Goggins and Lex Fridman pushup challenge in Las Vegas,2021-12-20,2021,12,59
K78jqx9fx2I,Jamie Metzl: Lab Leak Theory | Lex Fridman Podcast #247,2021-12-08,2021,12,55
3pvpNKUPbIY,Kevin Systrom: Instagram | Lex Fridman Podcast #243,2021-11-23,2021,11,51
tApj7Q37P2k,Ben Askren: Wrestling and MMA | Lex Fridman Podcast #242,2021-11-20,2021,11,56
uy1fX2vOAEE,Jimmy Pedro: Judo and the Forging of Champions | Lex Fridman Podcast #236,2021-10-31,2021,10,73
kSbMU5CbFM0,"Alex Gladstein: Bitcoin, Authoritarianism, and Human Rights | Lex Fridman Podcast #231",2021-10-16,2021,10,86
Iau6W5pjy9Y,"RZA: Wu-Tang Clan, Kung Fu, Chess, God, Life, and Death | Lex Fridman Podcast #228",2021-10-05,2021,10,82
cC1HszE5Hcw,"Sean Kelly: Existentialism, Nihilism, and the Search for Meaning | Lex Fridman Podcast #227",2021-09-30,2021,9,91
gFEE3w7F0ww,"Travis Oliphant: NumPy, SciPy, Anaconda, Python &amp; Scientific Programming | Lex Fridman Podcast #224",2021-09-23,2021,9,103
uiNpESmPioQ,"Travis Stevens: Judo, Olympics, and Mental Toughness | Lex Fridman Podcast #223",2021-09-21,2021,9,79
3wMKoSRbGVs,Douglas Lenat: Cyc and the Quest to Solve Common Sense Reasoning in AI | Lex Fridman Podcast #221,2021-09-15,2021,9,97
EE1R8FYUJm0,"Donald Knuth: Programming, Algorithms, Hard Problems &amp; the Game of Life | Lex Fridman Podcast #219",2021-09-09,2021,9,102
nre0QT9LN6w,Rodney Brooks: Robotics | Lex Fridman Podcast #217,2021-09-03,2021,9,50
U5OD8MjYnOM,"Wojciech Zaremba: OpenAI Codex, GPT-3, Robotics, and the Future of AI | Lex Fridman Podcast #215",2021-08-29,2021,8,96
J48bm21q8_A,Barry Barish: Gravitational Waves and the Most Precise Device Ever Built | Lex Fridman Podcast #213,2021-08-23,2021,8,99
rIpUf-Vy2JA,"Joscha Bach: Nature of Reality, Dreams, and Consciousness | Lex Fridman Podcast #212",2021-08-21,2021,8,84
ABbDB6xri8o,Tesla AI Day Highlights | Lex Fridman,2021-08-20,2021,8,37
oYQh1ZNkC70,Brian Muraresku: The Secret History of Psychedelics | Lex Fridman Podcast #211,2021-08-15,2021,8,78
ndMahzDCH1Y,Luís and João Batalha: Fermat&#39;s Library and the Art of Studying Papers | Lex Fridman Podcast #209,2021-08-09,2021,8,101
e4Bet29PVPY,Chris Duffin: The Mad Scientist of Strength | Lex Fridman Podcast #207,2021-08-03,2021,8,70
j4_VyRDOmN4,Cumrun Vafa: String Theory | Lex Fridman Podcast #204,2021-07-26,2021,7,53
ew8U43IXTfk,Anya Fernald: Regenerative Farming and the Art of Cooking Meat | Lex Fridman Podcast #203,2021-07-23,2021,7,89
2tUiLxtrLxk,Rick Doblin: Psychedelics | Lex Fridman Podcast #202,2021-07-21,2021,7,52
R5rNoV1Qy_Q,Michael Malice: Totalitarianism and Anarchy | Lex Fridman Podcast #200,2021-07-15,2021,7,70
Udh22kuLebg,Roger Reaves: Smuggling Drugs for Pablo Escobar and the Medellin Cartel | Lex Fridman Podcast #199,2021-07-11,2021,7,98
-tDQ74I3Ovs,Sara Walker: The Origin of Life on Earth and Alien Worlds | Lex Fridman Podcast #198,2021-07-09,2021,7,84
n2RcVEftY48,"Jocko Willink: War, Leadership, and Discipline | Lex Fridman Podcast #197",2021-07-05,2021,7,73
TG6BuSjwP4o,"Bret Weinstein: Truth, Science, and Censorship in the Time of a Pandemic | Lex Fridman Podcast #194",2021-06-25,2021,6,99
jhKZIq3SlYE,David Sinclair: Extending the Human Lifespan Beyond 100 Years | Lex Fridman Podcast #189,2021-06-07,2021,6,88
XW0QZmtbjvs,Vitalik Buterin: Ethereum 2.0 | Lex Fridman Podcast #188,2021-06-03,2021,6,56
1YbcB6b4A2U,Bryan Johnson: Kernel Brain-Computer Interfaces | Lex Fridman Podcast #186,2021-05-24,2021,5,74
4dC_nRYIDZU,"Sam Harris: Consciousness, Free Will, Psychedelics, AI, UFOs, and Meaning | Lex Fridman Podcast #185",2021-05-20,2021,5,100
85F0FDsPHf8,"Katherine de Kleer: Planets, Moons, Asteroids &amp; Life in Our Solar System | Lex Fridman Podcast #184",2021-05-17,2021,5,103
